Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,OeFG%,OTOV%,ORB%,OFT/FGA,DeFG%,DTOV%,DRB%,DFT/FGA,Arena,Attend.,Attend./G,W-L O/U,wpct,vegas_odds,year,predict
1.0,San Antonio Spurs,28.5,59.0,23.0,63,19,7.8,0.03,7.84,107.5,98.8,8.7,88.9,0.32899999999999996,0.21600000000000003,0.534,0.49200000000000005,13.2,29.1,0.23800000000000002,0.452,14.7,73.6,0.23600000000000002,SBC Center,750970.0,18316.0,56.5,0.7195121951219512,0.6890243902439024,2005,0.7809490465963316
2.0,Phoenix Suns,25.2,62.0,20.0,59,23,7.12,-0.04,7.08,114.5,107.1,7.4,95.9,0.29600000000000004,0.289,0.5710000000000001,0.534,12.4,27.5,0.222,0.478,12.0,68.3,0.17600000000000002,America West Arena,726066.0,17709.0,44.5,0.7560975609756098,0.5426829268292683,2005,0.7541423003713641
3.0,Miami Heat,28.0,59.0,23.0,59,23,6.52,-0.76,5.77,110.2,103.1,7.1,90.8,0.387,0.198,0.5589999999999999,0.524,13.1,27.0,0.26,0.46,12.4,74.1,0.242,AmericanAirlines Arena,815143.0,19882.0,52.5,0.7195121951219512,0.6402439024390244,2005,0.8019072831121852
4.0,Dallas Mavericks,27.7,58.0,24.0,57,25,5.74,0.11,5.86,110.3,104.1,6.2,92.7,0.34600000000000003,0.19,0.545,0.49200000000000005,12.5,28.6,0.273,0.47200000000000003,14.3,70.2,0.239,American Airlines Center,822533.0,20062.0,50.5,0.7073170731707317,0.6158536585365854,2005,0.6915095502771191
5.0,Houston Rockets,29.7,51.0,31.0,53,29,4.04,0.23,4.27,106.2,101.7,4.5,88.8,0.309,0.237,0.534,0.486,13.5,26.3,0.242,0.45899999999999996,12.9,74.5,0.245,Toyota Center,663444.0,16182.0,50.5,0.6219512195121951,0.6158536585365854,2005,0.6077570998572162
6.0,Detroit Pistons,27.9,54.0,28.0,53,29,3.87,-0.55,3.31,105.6,101.2,4.4,87.2,0.335,0.16399999999999998,0.519,0.47200000000000003,13.3,31.2,0.247,0.461,13.5,73.0,0.207,The Palace of Auburn Hills,905116.0,22076.0,56.5,0.6585365853658537,0.6890243902439024,2005,0.6594257026500872
7.0,Seattle SuperSonics,26.0,52.0,30.0,48,34,2.29,0.3,2.59,112.2,109.6,2.6,87.9,0.32799999999999996,0.281,0.546,0.495,13.0,32.4,0.259,0.496,12.9,71.3,0.249,KeyArena at Seattle Center,675490.0,16475.0,34.5,0.6341463414634146,0.42073170731707316,2005,0.5605110672756155
8.0,Memphis Grizzlies,26.3,45.0,37.0,48,34,2.29,0.34,2.64,105.5,102.9,2.6,88.5,0.32299999999999995,0.237,0.535,0.489,14.3,27.1,0.243,0.466,15.4,69.9,0.27,FedEx Forum,691362.0,16862.0,47.5,0.5487804878048781,0.5792682926829268,2005,0.580046526951282
9.0,Sacramento Kings,27.7,50.0,32.0,47,35,2.16,0.4,2.56,110.5,108.2,2.3,93.0,0.287,0.2,0.541,0.496,12.0,28.8,0.226,0.493,13.3,69.0,0.214,ARCO Arena (II),709997.0,17317.0,52.5,0.6097560975609756,0.6402439024390244,2005,0.568140454160309
10.0,Denver Nuggets,26.7,49.0,33.0,47,35,2.02,0.2,2.23,106.0,103.9,2.1,93.5,0.35,0.142,0.535,0.483,13.8,28.4,0.267,0.48200000000000004,15.1,71.7,0.247,Pepsi Center,723949.0,17657.0,49.5,0.5975609756097561,0.6036585365853658,2005,0.5751701807529046
11.0,Minnesota Timberwolves,29.0,44.0,38.0,45,37,1.45,0.28,1.73,108.2,106.6,1.6,89.1,0.275,0.17300000000000001,0.534,0.489,12.7,28.6,0.21899999999999997,0.47200000000000003,11.2,71.4,0.20800000000000002,Target Center,704438.0,17181.0,55.5,0.5365853658536586,0.676829268292683,2005,0.547075189631439
12.0,Chicago Bulls,25.0,47.0,35.0,44,38,1.06,-0.41,0.65,101.4,100.3,1.1,92.4,0.311,0.217,0.517,0.47100000000000003,15.5,28.4,0.233,0.45399999999999996,14.4,72.6,0.262,United Center,828384.0,20204.0,32.5,0.573170731707317,0.39634146341463417,2005,0.5082492467654367
13.0,Boston Celtics,27.1,45.0,37.0,43,39,0.87,-0.52,0.35,107.5,106.6,0.9,93.3,0.35700000000000004,0.192,0.551,0.501,14.7,27.2,0.273,0.48100000000000004,14.2,70.1,0.27399999999999997,FleetCenter,656081.0,16002.0,40.5,0.5487804878048781,0.49390243902439024,2005,0.5317778233352817
14.0,Cleveland Cavaliers,26.5,42.0,40.0,43,39,0.79,-0.52,0.27,106.6,105.7,0.9,89.7,0.325,0.135,0.518,0.47,13.0,32.5,0.244,0.485,14.1,71.5,0.248,Gund Arena,784249.0,19128.0,43.5,0.5121951219512195,0.5304878048780488,2005,0.5314768818045115
15.0,Indiana Pacers,28.3,44.0,38.0,43,39,0.76,-0.27,0.49,105.5,104.6,0.9,87.2,0.358,0.255,0.534,0.47600000000000003,14.1,26.4,0.28300000000000003,0.47200000000000003,13.6,71.3,0.261,Conseco Fieldhouse,696764.0,16994.0,51.5,0.5365853658536586,0.6280487804878049,2005,0.4895613071622529
16.0,Washington Wizards,25.3,45.0,37.0,40,42,-0.33,-0.38,-0.71,107.2,107.5,-0.3,93.3,0.364,0.22,0.523,0.474,12.9,31.1,0.264,0.498,14.6,70.0,0.23,MCI Center,705069.0,17197.0,33.5,0.5487804878048781,0.40853658536585363,2005,0.5147880778347766
17.0,Philadelphia 76ers,26.4,43.0,39.0,39,43,-0.74,-0.33,-1.07,103.5,104.3,-0.8,94.9,0.326,0.21600000000000003,0.528,0.475,14.2,25.4,0.257,0.485,15.4,72.7,0.267,Wachovia Center,732686.0,17870.0,38.5,0.524390243902439,0.4695121951219512,2005,0.4580358709353438
18.0,Los Angeles Clippers,25.5,37.0,45.0,39,43,-0.77,0.3,-0.47,105.5,106.4,-0.9,89.1,0.35700000000000004,0.105,0.5329999999999999,0.47700000000000004,14.9,30.3,0.278,0.48,13.0,71.3,0.235,STAPLES Center,696181.0,16980.0,32.5,0.45121951219512196,0.39634146341463417,2005,0.47371024594743183
19.0,New Jersey Nets,27.8,42.0,40.0,36,46,-1.5,-0.32,-1.82,101.4,103.1,-1.7,89.1,0.318,0.187,0.512,0.46299999999999997,13.7,25.5,0.242,0.479,15.2,73.2,0.278,Continental Airlines Arena,618681.0,15090.0,37.5,0.5121951219512195,0.4573170731707317,2005,0.4272985418733277
20.0,Toronto Raptors,27.0,33.0,49.0,36,46,-1.62,-0.19,-1.81,106.9,108.7,-1.8,92.7,0.316,0.253,0.539,0.49200000000000005,12.5,23.7,0.244,0.499,13.4,71.1,0.24,Air Canada Centre,703388.0,17156.0,34.5,0.4024390243902439,0.42073170731707316,2005,0.4482392850617214
21.0,Golden State Warriors,26.7,34.0,48.0,35,47,-2.16,0.42,-1.74,104.7,106.9,-2.2,93.3,0.278,0.252,0.512,0.475,12.3,27.8,0.201,0.491,13.9,69.7,0.22699999999999998,Oakland Arena,670368.0,16350.0,35.5,0.4146341463414634,0.4329268292682927,2005,0.44677968467646245
22.0,Orlando Magic,26.5,36.0,46.0,35,47,-2.24,-0.27,-2.52,104.9,107.3,-2.4,94.7,0.35,0.13699999999999998,0.529,0.478,14.6,29.9,0.265,0.484,13.2,71.3,0.255,TD Waterhouse Centre,597942.0,14584.0,34.5,0.43902439024390244,0.42073170731707316,2005,0.44234910387056825
23.0,New York Knicks,27.3,33.0,49.0,34,48,-2.44,-0.28,-2.72,106.2,108.9,-2.7,90.7,0.312,0.188,0.531,0.485,13.8,28.3,0.239,0.501,13.8,71.2,0.265,Madison Square Garden (IV),800144.0,19516.0,41.5,0.4024390243902439,0.5060975609756098,2005,0.39621296449842935
24.0,Milwaukee Bucks,26.9,30.0,52.0,32,50,-2.99,-0.1,-3.09,106.6,109.8,-3.2,90.8,0.33899999999999997,0.141,0.527,0.475,13.0,29.0,0.261,0.499,12.4,72.0,0.233,Bradley Center,637009.0,15537.0,38.5,0.36585365853658536,0.4695121951219512,2005,0.4167373439237153
25.0,Los Angeles Lakers,26.0,34.0,48.0,33,49,-2.96,0.64,-2.32,108.1,111.4,-3.3,90.8,0.322,0.273,0.535,0.485,13.4,29.5,0.251,0.493,11.0,71.1,0.218,STAPLES Center,770494.0,18793.0,45.5,0.4146341463414634,0.5548780487804879,2005,0.4225304425333669
26.0,Portland Trail Blazers,27.0,27.0,55.0,29,53,-4.0,0.55,-3.45,103.2,107.7,-4.5,89.8,0.303,0.18100000000000002,0.524,0.484,15.2,29.6,0.21899999999999997,0.479,12.6,67.7,0.204,Rose Garden Arena,680374.0,16594.0,40.5,0.32926829268292684,0.49390243902439024,2005,0.4066662225185206
27.0,Utah Jazz,25.7,26.0,56.0,29,53,-4.27,0.53,-3.74,104.7,109.5,-4.8,88.4,0.361,0.121,0.522,0.469,15.0,31.9,0.273,0.499,14.2,72.3,0.34,Delta Center,769014.0,18756.0,45.5,0.3170731707317073,0.5548780487804879,2005,0.3101166028788044
28.0,Charlotte Bobcats,24.9,18.0,64.0,24,58,-5.99,-0.16,-6.15,101.1,107.5,-6.4,92.3,0.306,0.128,0.49700000000000005,0.455,13.3,29.5,0.217,0.49700000000000005,14.7,70.9,0.26899999999999996,Charlotte Coliseum,591701.0,14432.0,16.5,0.21951219512195122,0.20121951219512196,2005,0.32110610460674993
